code,availability,name,base_price,category,organic,gmo,brand,status,size,weight,ups_ship,image,sale,description
QP065,120,"Fresh Produce Carrots, Baby, Organic - 1 lb.",2.15,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"1 lb.",1,N,https://media.azurestandard.com/generic_images/qp065.jpg,0,http://www.azurestandard.com/data/product-description/8445
QP389,133,"Fresh Produce Meyer Lemon, Organic - 2 lbs.",8.9,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"2 lbs.",2,N,https://media.azurestandard.com/generic_images/Meyer-lemon-ripe.jpg,0,http://www.azurestandard.com/data/product-description/9928
QP082,147,"Fresh Produce Avocado, Large, Organic - 2 ct.",3.5,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"2 ct.",1.5,N,https://media.azurestandard.com/generic_images/qp082.jpg,0,http://www.azurestandard.com/data/product-description/8452
QP082,147,"Fresh Produce Avocado, Large, Organic - 2 ct.",3.5,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"2 ct.",1.5,N,https://media.azurestandard.com/generic_images/qp082.jpg,0,http://www.azurestandard.com/data/product-description/8452
QP130,149,"Fresh Produce Cauliflower, Organic - 1 bunch",5.15,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"1 bunch",0.7,N,https://media.azurestandard.com/generic_images/qp130.jpg,0,http://www.azurestandard.com/data/product-description/8461
QP170,149,"Fresh Produce Carrots #2, Organic - 25 lbs.",19,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"25 lbs.",26,N,https://media.azurestandard.com/generic_images/qp170.jpg,0,http://www.azurestandard.com/data/product-description/3477
QP222,150,"Fresh Produce Apples, Fuji, Organic - 20 lbs",24,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"20 lbs",21,N,https://media.azurestandard.com/generic_images/qp222.jpg,0,http://www.azurestandard.com/data/product-description/3497
QP232,150,"Fresh Produce Kiwi Fruit, Organic - 2 lbs. approx",6.25,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"2 lbs. approx",2,N,https://media.azurestandard.com/generic_images/qp232.jpg,0,http://www.azurestandard.com/data/product-description/8465
QP172,153,"Fresh Produce Potatoes, Yellow, Organic - 5 lbs.",5.5,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"5 lbs.",5,N,https://media.azurestandard.com/generic_images/qp172.jpg,0,http://www.azurestandard.com/data/product-description/3479
QP451,160,"Fresh Produce Mango, Fresh, Organic - 1 ct.",3.5,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"1 ct.",1,N,https://media.azurestandard.com/generic_images/mango.jpg,0,http://www.azurestandard.com/data/product-description/12364
QP401,208,"Fresh Produce Mushrooms, Crimini, Organic - 8 oz",2.75,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"8 oz",0.5,N,https://media.azurestandard.com/generic_images/crimini_cookthinker_2.jpg,0,http://www.azurestandard.com/data/product-description/12734
QP034,209,"Fresh Produce Potatoes, Red, Organic - 5 lbs.",6,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"5 lbs.",5,N,https://media.azurestandard.com/generic_images/qp034.jpg,0,http://www.azurestandard.com/data/product-description/3418
QP294,249,"Fresh Produce Yam, Organic - 3 lbs.",5.75,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"3 lbs.",3,N,https://media.azurestandard.com/generic_images/qp294.jpg,0,http://www.azurestandard.com/data/product-description/8474
QP004,271,"Fresh Produce Avocado, Small, Organic - 3 ct.",3.5,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"3 ct.",1,N,https://media.azurestandard.com/generic_images/qp004.jpg,0,http://www.azurestandard.com/data/product-description/8433
QP004,271,"Fresh Produce Avocado, Small, Organic - 3 ct.",3.5,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"3 ct.",1,N,https://media.azurestandard.com/generic_images/qp004.jpg,0,http://www.azurestandard.com/data/product-description/8433
QP165,275,"Fresh Produce Carrots #1, Organic - 5 lbs.",5.5,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"5 lbs.",5,N,https://media.azurestandard.com/generic_images/qp165.jpg,0,http://www.azurestandard.com/data/product-description/3474
QP165,275,"Fresh Produce Carrots #1, Organic - 5 lbs.",5.5,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"5 lbs.",5,N,https://media.azurestandard.com/generic_images/qp165.jpg,0,http://www.azurestandard.com/data/product-description/3474
QP055,288,"Fresh Produce Apples, In Season, Organic Green or Yellow - 3 lbs",3,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"3 lbs",3,N,https://media.azurestandard.com/generic_images/green_apple.jpg,0,http://www.azurestandard.com/data/product-description/13786
QP033,297,"Fresh Produce Beets, Red, Fresh, Organic - 5 lbs.",9,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"5 lbs.",5.5,N,https://media.azurestandard.com/generic_images/qp033.jpg,0,http://www.azurestandard.com/data/product-description/3417
